City served,State,ICAO,IATA,Airport name,Administrator
Santa Rosa,Rio Grande do Sul,SSZR,SRA,Luís Alberto Lehr Airport,DAP
Santa Terezinha,Mato Grosso,SWST,STZ,Santa Terezinha Airport,
Santana do Araguaia,Pará,SNKE,CMP,Santana do Araguaia Airport,
Santarém,Pará,SBSN,STM,Maestro Wilson Fonseca Airport,Infraero
Santiago,Rio Grande do Sul,SSST,,Santiago Airport,
Santo Ângelo,Rio Grande do Sul,SBNM,GEL,Sepé Tiaraju Airport,DAP
Santo Antônio do Içá,Amazonas,SWII,IPG,Ipiranga Airport,
São Benedito,Ceará,SWBE,JSB,Valfrido Salmito de Almeida Airport,
São Borja,Rio Grande do Sul,SSSB,JBS,São Borja Airport,
São Carlos,São Paulo,SDSC,QSC,Mário Pereira Lopes Airport,DAESP / Voa São Paulo
São Félix do Araguaia,Mato Grosso,SWFX,SXO,São Félix do Araguaia Airport,
São Félix do Xingu,Pará,SNFX,SXX,São Félix do Xingu Airport,
São Gabriel da Cachoeira,Amazonas,SBUA,SJL,São Gabriel da Cachoeira Airport,
São João del-Rei,Minas Gerais,SNJR,JDR,Pref. Octávio de Almeida Neves Airport,Socicam
São José do Rio Preto,São Paulo,SBSR,SJP,Prof. Eribelto Manoel Reino Airport,DAESP / Socicam
São José dos Campos,São Paulo,SBSJ,SJK,Prof. Urbano Ernesto Stumpf Airport,Infraero / São José dos Campos
São Lourenço,Minas Gerais,SNLO,SSO,Comte. Luiz Carlos de Oliveira Airport,
São Luís,Maranhão,SBSL,SLZ,Mal. Cunha Machado International Airport (Tirirical),Infraero / CCR
São Miguel do Oeste,Santa Catarina,SSOE,SQX,Hélio Wasum Airport,
São Paulo,São Paulo,SBMT,MAE,Campo de Marte Airport,Infraero
São Paulo,São Paulo,SBSP,CGH,Congonhas Airport,Infraero
São Paulo / Guarulhos,São Paulo,SBGR,GRU,Gov. André Franco Montoro International Airport (Cumbica),Invepar-ACSA
São Paulo / São Roque,São Paulo,SBJH,,São Paulo Catarina Executive Airport,JHSF Participações
São Paulo de Olivença,Amazonas,SDCG,OLC,Sen. Eunice Michiles Airport,
São Pedro,São Paulo,SDAE,,São Pedro Airport,São Pedro
São Raimundo Nonato,Piauí,SWKQ,SRN,Serra da Capivara Airport,Esaero
Serra Talhada,Pernambuco,SNHS,SET,Santa Magalhães Airport,
Sinop,Mato Grosso,SWSI,OPS,Presidente João Figueiredo Airport,Aeroeste
Sobral,Ceará,SNOB,QBX,Cel. Virgílio Távora Lima Airport,
Sorocaba,São Paulo,SDCO,SOD,Bertram Luiz Leupolz Airport,DAESP / Voa São Paulo
Sorriso,Mato Grosso,SBSO,SMT,Adolino Bedin Regional Airport,
Tabatinga,Amazonas,SBTT,TBT,Tabatinga International Airport,Infraero / Vinci SA
Tangará da Serra,Mato Grosso,SWTS,TGQ,Tangará da Serra Airport,
Tarauacá,Acre,SBTK,TRQ,José Galera dos Santos Airport,
Tauá,Ceará,SDZG,,Pedro Teixeira Castelo Airport,
Tefé,Amazonas,SBTF,TFF,Tefé Airport,Infraero / Vinci SA
Teixeira de Freitas,Bahia,SNTF,TXF,9 de maio Airport,
Telêmaco Borba,Paraná,SSVL,TEC,Telêmaco Borba Airport,SEIL
Teófilo Otoni,Minas Gerais,SNTO,TFL,Teófilo Otoni Airport,
Teresina,Piauí,SBTE,THE,Sen. Petrônio Portella Airport,Infraero / CCR
Toledo,Paraná,SBTD,TOW,Luiz dal Canalle Filho Airport,SEIL
Torres,Rio Grande do Sul,SSTE,TSQ,Torres Airport,DAP
Três Lagoas,Mato Grosso do Sul,SBTG,TJL,Plínio Alarcom Airport,
Tucuruí,Pará,SBTU,TUR,Tucuruí Airport,Esaero
Ubatuba,São Paulo,SDUB,UBT,Gastão Madeira Airport,Voa São Paulo
Uberaba,Minas Gerais,SBUR,UBA,Mário de Almeida Franco Airport,Infraero
Uberlândia,Minas Gerais,SBUL,UDI,Ten. Cel. Av. César Bombonato Airport,Infraero
Umuarama,Paraná,SSUM,UMU,Orlando de Carvalho Airport,SEIL
Una,Bahia,SBTC,UNA,Una-Comandatuba Airport,Socicam
União da Vitória,Paraná,SSUV,UVI,José Cleto Airport,SEIL
Uruguaiana,Rio Grande do Sul,SBUG,URG,Ruben Berta International Airport,Infraero / CCR
Vacaria,Rio Grande do Sul,SNEE,VCC,Vacaria Airport,
Valença,Bahia,SNVB,VAL,Valença Airport,
Varginha,Minas Gerais,SBVG,VAG,Maj. Brig. Trompowsky Airport,
Videira,Santa Catarina,SSVI,VIA,Ângelo Ponzoni Airport,Videira
Vila Rica,Mato Grosso,SWVC,VLP,Vila Rica Airport,
Vilhena,Rondônia,SBVH,BVH,Brig. Camarão Airport,
Vitória,Espírito Santo,SBVT,VIX,Eurico de Aguiar Salles Airport (Goiabeiras),Zurich Airport Brasil
Vitória da Conquista,Bahia,SBVC,VDC,Glauber Rocha Airport,Socicam
Xinguara,Pará,SWSX,XIG,Xinguara Municipal Airport,
